# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   1   3   1
  1   0   1   1   1
  2   0   1   3  -1
  3   0   1   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   1   1
  3   0   1   2
  4   0   2   0
  5   0   2   1
  6   0   2   2
  7   0   2   3
  8   0   3   1
  9   0   3   2
 10   1   1   0
 11   1   2   1
 12   1   2   2
 13   1   3   0
 14   1   3   1
 15   2   2   0
 16   2   2   2
 17   2   3   1
 18   2   3   2
 19   3   3   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  2   0   0.60696534
  3   1   0.14159421

-------------- TBTD ---------------------
  4   0   0.52691896
  4  10   0.21370615
  5   2  -0.21391826
  6   1   0.76225359
  6   3  -0.08029554
  8   2   0.07312355
  9   1   0.04545765
  9   3   0.12942191
 11   2   0.04795125
 12   1   0.15829261
 12   3  -0.18027385
 13   0   0.21585003
 13  10   0.13059093
 14   2   0.00623938
 15   4  -0.29529339
 15  13  -0.16652774
 16   6   0.72733372
 16   9  -0.06180914
 16  12  -0.14242051
 17   5   0.21308551
 17   8   0.11506098
 17  11   0.14026700
 17  14  -0.00654061
 18   6   0.05645986
 18   9   0.15480147
 18  12  -0.10477937
 19   4  -0.16222721
 19  13  -0.05427361

Jf nJf  Ji nJi  Lambda =   0 2      0 1      0
-------------- OBTD ---------------------
  2   0  -0.29318818
  3   1   0.40811880

-------------- TBTD ---------------------
  4   0  -0.19243759
  4  10  -0.03024181
  5   2  -0.07445182
  6   1  -0.31475179
  6   3  -0.02194273
  8   2   0.26411861
  9   1  -0.07547941
  9   3   0.41803762
 11   2  -0.19855692
 12   1   0.05430836
 12   3   0.06607044
 13   0   0.39492167
 13  10   0.23990297
 14   2  -0.06011253
 15   4   0.00842187
 15  13  -0.10046103
 16   6  -0.10210427
 16   9  -0.08639781
 16  12  -0.04114067
 17   5   0.19502327
 17   8  -0.16212299
 17  11   0.27939329
 17  14  -0.01847419
 18   6   0.24129073
 18   9  -0.25982024
 18  12  -0.23853054
 19   4   0.21155580
 19  13   0.09690221

Jf nJf  Ji nJi  Lambda =   0 1      0 2      0
-------------- OBTD ---------------------
  2   0  -0.29442273
  3   1   0.42280059

-------------- TBTD ---------------------
  4   0  -0.18790385
  4  10   0.43029263
  5   2  -0.19302399
  6   1  -0.32562314
  6   3  -0.08448742
  8   2   0.26383765
  9   1   0.04387310
  9   3   0.43448779
 11   2  -0.18198460
 12   1   0.07319733
 12   3   0.06971293
 13   0  -0.03607671
 13  10   0.25828245
 14   2   0.01792058
 15   4   0.01118535
 15  13   0.20189335
 16   6  -0.11747348
 16   9   0.18282607
 16  12  -0.15417715
 17   5   0.06125100
 17   8  -0.16151558
 17  11   0.29608340
 17  14   0.06054949
 18   6  -0.03322632
 18   9  -0.24251162
 18  12  -0.24488835
 19   4  -0.10037688
 19  13   0.09577207

Jf nJf  Ji nJi  Lambda =   0 2      0 2      0
-------------- OBTD ---------------------
  2   0   0.68898709
  3   1   0.02362284

-------------- TBTD ---------------------
  4   0   0.15340133
  4  10   0.04910060
  5   2  -0.04789171
  6   1   0.85885468
  6   3  -0.04609910
  8   2  -0.05049006
  9   1  -0.08094674
  9   3   0.02137902
 11   2   0.17273032
 12   1  -0.04134384
 12   3  -0.40332657
 13   0   0.03834440
 13  10   0.09890274
 14   2  -0.04941797
 15   4   0.37733173
 15  13   0.03740458
 16   6   0.23656998
 16   9   0.16344602
 16  12  -0.06396844
 17   5   0.03475859
 17   8   0.33568040
 17  11   0.12517108
 17  14   0.04577768
 18   6   0.15258875
 18   9   0.39927464
 18  12  -0.02778432
 19   4   0.05548927
 19  13  -0.14998783

Jf nJf  Ji nJi  Lambda =   1 1      1 1      0
-------------- OBTD ---------------------
  2   0  -0.25237563
  3   1   0.35220201

-------------- TBTD ---------------------
  4   0  -0.09997796
  4  10   0.00534154
  5   2  -0.14278577
  6   1  -0.21298370
  6   3  -0.04735404
  8   2   0.38544949
  9   1   0.04452625
  9   3   0.28351716
 11   2  -0.25314860
 12   1   0.01327226
 12   3   0.11667077
 13   0   0.01639251
 13  10   0.13624874
 14   2   0.00399735
 15   4  -0.09654254
 15  13   0.00516277
 16   6  -0.21489204
 16   9  -0.04859888
 16  12   0.01980086
 17   5  -0.05400892
 17   8   0.02575325
 17  11   0.10722691
 17  14  -0.05563551
 18   6   0.01833766
 18   9  -0.10644954
 18  12  -0.27744174
 19   4   0.01758337
 19  13   0.13440449

Jf nJf  Ji nJi  Lambda =   1 2      1 1      0
-------------- OBTD ---------------------
  2   0  -0.07443168
  3   1   0.10864639

-------------- TBTD ---------------------
  4   0  -0.05948008
  4  10   0.13326029
  5   2  -0.01139165
  6   1  -0.04530573
  6   3  -0.15894644
  8   2   0.00321908
  9   1   0.01996334
  9   3   0.17151085
 11   2  -0.05780689
 12   1  -0.05373339
 12   3   0.05325366
 13   0  -0.00872019
 13  10   0.05081415
 14   2   0.00365769
 15   4  -0.06089319
 15  13   0.13217537
 16   6  -0.04483152
 16   9  -0.33054360
 16  12  -0.11265993
 17   5   0.04074995
 17   8  -0.15172915
 17  11   0.09945356
 17  14   0.11441881
 18   6   0.05214518
 18   9   0.08629503
 18  12  -0.02860287
 19   4  -0.00886463
 19  13   0.05026243

Jf nJf  Ji nJi  Lambda =   1 1      1 2      0
-------------- OBTD ---------------------
  2   0  -0.18832682
  3   1   0.26119595

-------------- TBTD ---------------------
  4   0   0.18036459
  4  10  -0.07506195
  5   2   0.07948574
  6   1  -0.32359670
  6   3   0.04887203
  8   2   0.38710956
  9   1  -0.14991850
  9   3   0.20249341
 11   2  -0.18658522
 12   1  -0.13964684
 12   3   0.01724335
 13   0  -0.11114958
 13  10  -0.01069279
 14   2  -0.04329945
 15   4   0.17774186
 15  13  -0.07376015
 16   6  -0.32146874
 16   9   0.15484682
 16  12   0.08744833
 17   5  -0.21854883
 17   8   0.01521136
 17  11   0.18914138
 17  14   0.08732433
 18   6  -0.00474859
 18   9  -0.00646031
 18  12  -0.19064321
 19   4  -0.11263593
 19  13  -0.01069143

Jf nJf  Ji nJi  Lambda =   1 2      1 2      0
-------------- OBTD ---------------------
  2   0   0.08571104
  3   1  -0.12044052

-------------- TBTD ---------------------
  4   0  -0.04466836
  4  10   0.06335218
  5   2   0.07365337
  6   1   0.13380434
  6   3   0.00381732
  8   2  -0.09693586
  9   1   0.02463676
  9   3  -0.16155883
 11   2   0.04649773
 12   1  -0.01610443
 12   3  -0.03299269
 13   0  -0.00720001
 13  10   0.01284706
 14   2   0.05697596
 15   4  -0.04413955
 15  13   0.06324738
 16   6   0.13396061
 16   9   0.18517442
 16  12   0.18549927
 17   5   0.07504823
 17   8   0.08403015
 17  11  -0.13793322
 17  14  -0.05969246
 18   6   0.03030674
 18   9  -0.07329752
 18  12   0.05371621
 19   4  -0.00714760
 19  13   0.01298474
