# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   1   3   1
  1   0   1   1   1
  2   0   1   3  -1
  3   0   1   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   1   1
  3   0   1   2
  4   0   2   0
  5   0   2   1
  6   0   2   2
  7   0   2   3
  8   0   3   1
  9   0   3   2
 10   1   1   0
 11   1   2   1
 12   1   2   2
 13   1   3   0
 14   1   3   1
 15   2   2   0
 16   2   2   2
 17   2   3   1
 18   2   3   2
 19   3   3   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  2   0   0.59542715
  3   1   0.15723129

-------------- TBTD ---------------------
  4   0   0.51631913
  4  10   0.22237060
  5   2  -0.22474697
  6   1   0.75490130
  6   3  -0.08354777
  8   2   0.08408140
  9   1   0.04746143
  9   3   0.14665631
 11   2   0.03711428
 12   1   0.16693581
 12   3  -0.17480956
 13   0   0.21745356
 13  10   0.13683162
 14   2   0.00673486
 15   4  -0.29987670
 15  13  -0.15191195
 16   6   0.73755393
 16   9  -0.05245576
 16  12  -0.14960331
 17   5   0.21971824
 17   8   0.09990229
 17  11   0.15006668
 17  14  -0.00475006
 18   6   0.05727456
 18   9   0.13434839
 18  12  -0.11268406
 19   4  -0.16227887
 19  13  -0.04749997

Jf nJf  Ji nJi  Lambda =   0 2      0 1      0
-------------- OBTD ---------------------
  2   0  -0.26078904
  3   1   0.40380245

-------------- TBTD ---------------------
  4   0  -0.18030587
  4  10  -0.02861432
  5   2  -0.07424100
  6   1  -0.27773735
  6   3  -0.01852457
  8   2   0.25884808
  9   1  -0.07944093
  9   3   0.41413503
 11   2  -0.18808098
 12   1   0.05575286
 12   3   0.04726815
 13   0   0.40402697
 13  10   0.23957951
 14   2  -0.06229267
 15   4   0.02454518
 15  13  -0.08868411
 16   6  -0.09423512
 16   9  -0.07544148
 16  12  -0.03935415
 17   5   0.20141625
 17   8  -0.14567375
 17  11   0.28076743
 17  14  -0.01569898
 18   6   0.25138024
 18   9  -0.23593037
 18  12  -0.23596728
 19   4   0.21982334
 19  13   0.09063941

Jf nJf  Ji nJi  Lambda =   0 1      0 2      0
-------------- OBTD ---------------------
  2   0  -0.29172763
  3   1   0.37607039

-------------- TBTD ---------------------
  4   0  -0.21229255
  4  10   0.33403441
