# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   1   3   1
  1   0   1   1   1
  2   0   1   3  -1
  3   0   1   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   1   1
  3   0   1   2
  4   0   2   0
  5   0   2   1
  6   0   2   2
  7   0   2   3
  8   0   3   1
  9   0   3   2
 10   1   1   0
 11   1   2   1
 12   1   2   2
 13   1   3   0
 14   1   3   1
 15   2   2   0
 16   2   2   2
 17   2   3   1
 18   2   3   2
 19   3   3   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  2   0   0.61148471
  3   1   0.13412600

-------------- TBTD ---------------------
  4   0   0.52758329
  4  10   0.20613972
  5   2  -0.21148908
  6   1   0.77264831
  6   3  -0.08052088
  8   2   0.06877090
  9   1   0.04420526
  9   3   0.12225355
 11   2   0.04831258
 12   1   0.15438550
 12   3  -0.17700021
 13   0   0.21628230
 13  10   0.12485136
 14   2   0.00605932
 15   4  -0.29511683
 15  13  -0.17355840
 16   6   0.72755067
 16   9  -0.07016939
 16  12  -0.14111393
 17   5   0.21495137
 17   8   0.11819368
 17  11   0.13555875
 17  14  -0.00837722
 18   6   0.05937401
 18   9   0.16004092
 18  12  -0.10016160
 19   4  -0.15713867
 19  13  -0.05614226

Jf nJf  Ji nJi  Lambda =   0 2      0 1      0
-------------- OBTD ---------------------
  2   0  -0.31594335
  3   1   0.40339781

-------------- TBTD ---------------------
  4   0  -0.20232996
  4  10  -0.03478532
  5   2  -0.07035761
  6   1  -0.34517462
  6   3  -0.01957683
  8   2   0.26201547
  9   1  -0.07332111
  9   3   0.41380535
 11   2  -0.20167778
 12   1   0.05568813
 12   3   0.07543071
 13   0   0.39505000
 13  10   0.23500762
 14   2  -0.05901297
 15   4   0.00571854
 15  13  -0.10095997
 16   6  -0.11879935
 16   9  -0.09179693
 16  12  -0.03737531
 17   5   0.19168914
 17   8  -0.16987630
 17  11   0.27512898
 17  14  -0.02010459
 18   6   0.23591197
 18   9  -0.26920010
 18  12  -0.23514710
 19   4   0.20774254
 19  13   0.09803261

Jf nJf  Ji nJi  Lambda =   0 1      0 2      0
-------------- OBTD ---------------------
  2   0  -0.28972730
  3   1   0.44558760

-------------- TBTD ---------------------
  4   0  -0.15141446
  4  10   0.55802390
  5   2  -0.14644934
  6   1  -0.38189598
  6   3  -0.04525583
  8   2   0.27373441
  9   1   0.01723380
  9   3   0.43450551
 11   2  -0.13017227
