# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   1   3   1
  1   0   1   1   1
  2   0   1   3  -1
  3   0   1   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   1   1
  3   0   1   2
  4   0   2   0
  5   0   2   1
  6   0   2   2
  7   0   2   3
  8   0   3   1
  9   0   3   2
 10   1   1   0
 11   1   2   1
 12   1   2   2
 13   1   3   0
 14   1   3   1
 15   2   2   0
 16   2   2   2
 17   2   3   1
 18   2   3   2
 19   3   3   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  2   0   0.07922864
  3   1   0.88759271

-------------- TBTD ---------------------
  4   0   0.05602311
  6   1   0.12527149
  8   2   1.08707462
  9   3   1.40340730
 11   2   0.06861402
 12   3  -0.08858032
 13  10   0.88759271
 15   4  -0.05602311
 15  13  -0.30221124
 16   6   0.12527149
 17   8   0.06861402
 17  11   1.08707462
 18   9   0.08858032
 18  12  -1.40340730
 19   4  -0.32907913

Jf nJf  Ji nJi  Lambda =   0 2      0 1      0
-------------- OBTD ---------------------
  2   0   0.21369560
  3   1  -0.32907907

-------------- TBTD ---------------------
  4   0   0.15110561
  6   1   0.33788242
  8   2  -0.40303790
  9   3  -0.52031969
 11   2   0.18506582
 12   3  -0.23891895
 13  10  -0.32907907
 15   4  -0.15110561
 15  13   0.11204620
 16   6   0.33788242
 17   8   0.18506582
 17  11  -0.40303790
 18   9   0.23891895
 18  12   0.52031969
 19   4  -0.88759267

Jf nJf  Ji nJi  Lambda =   0 1      0 2      0
-------------- OBTD ---------------------
  2   0   0.23269409
  3   1  -0.30221128

-------------- TBTD ---------------------
  4   0   0.16453957
  6   1   0.36792166
  8   2  -0.37013171
  9   3  -0.47783799
 11   2   0.20151900
 12   3  -0.26015990
 13  10  -0.30221128
 15   4  -0.16453957
 15  13  -0.88759273
 16   6   0.36792166
 17   8   0.20151900
 17  11  -0.37013171
 18   9   0.26015990
 18  12   0.47783799
 19   4   0.11204624

Jf nJf  Ji nJi  Lambda =   0 2      0 2      0
-------------- OBTD ---------------------
  2   0   0.62762281
  3   1   0.11204622

-------------- TBTD ---------------------
  4   0   0.44379634
  6   1   0.99235879
  8   2   0.13722803
  9   3   0.17716063
 11   2   0.54353730
 12   3  -0.70170363
 13  10   0.11204622
 15   4  -0.44379634
 15  13   0.32907908
 16   6   0.99235879
 17   8   0.54353730
 17  11   0.13722803
 18   9   0.70170363
 18  12  -0.17716063
 19   4   0.30221126

Jf nJf  Ji nJi  Lambda =   1 1      1 1      0
-------------- OBTD ---------------------
  2   0   0.25713040
  3   1  -0.31536135

-------------- TBTD ---------------------
  4   0   0.18181865
  6   1   0.40655885
  8   2  -0.38623719
  9   3  -0.49863007
 11   2   0.22268145
 12   3  -0.28748052
 13  10  -0.31536135
 15   4   0.18181865
 16   6   0.40655885
 17   5   0.09657530
 17   8  -0.07422715
 17  11  -0.12874573
 17  14   0.41176442
 18   9   0.28748052
 18  12   0.49863007
 19  13  -0.31536135

Jf nJf  Ji nJi  Lambda =   1 2      1 1      0
-------------- OBTD ---------------------
  2   0   0.23609726
  3   1  -0.28685927

-------------- TBTD ---------------------
  4   0   0.16694598
  6   1   0.37330255
  8   2  -0.35132942
  9   3  -0.45356433
 11   2   0.20446623
 12   3  -0.26396477
 13  10  -0.28685927
 15   4   0.16694598
 16   6   0.37330255
 17   5   0.22001434
 17   8  -0.06815541
 17  11  -0.11710981
 17  14  -0.39464608
 18   9   0.26396477
 18  12   0.45356433
 19  13  -0.28685927

Jf nJf  Ji nJi  Lambda =   1 1      1 2      0
-------------- OBTD ---------------------

-------------- TBTD ---------------------

Jf nJf  Ji nJi  Lambda =   1 2      1 2      0
-------------- OBTD ---------------------

-------------- TBTD ---------------------
