##########################################################################################
# initial vector basename: n_140
# final   vector basename: c_140
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -91.345     -88.926    1.436024e+00   -1.810813e-02    1.417916e+00  
 0.0   1     0.0   2    -91.345     -72.180    2.173954e-02    3.417449e-03    2.515699e-02  
 0.0   1     1.0   1    -91.345     -92.162    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -91.345     -87.155    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -76.311     -88.926   -4.016069e-02    1.741815e-02   -2.274254e-02  
 0.0   2     0.0   2    -76.311     -72.180    1.415514e+00    9.809890e-03    1.425324e+00  
 0.0   2     1.0   1    -76.311     -92.162    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -76.311     -87.155    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -80.208     -88.926    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -80.208     -72.180    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -80.208     -92.162    7.820597e-02    3.715941e-03    8.192192e-02  
 1.0   1     1.0   2    -80.208     -87.155    7.563006e-02    1.574273e-03    7.720433e-02  
 1.0   2     0.0   1      0.000     -88.926    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2      0.000     -72.180    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1      0.000     -92.162    1.590960e-58   -5.679263e-60    1.534168e-58  
 1.0   2     1.0   2      0.000     -87.155    1.835101e-57   -6.780404e-60    1.828321e-57  
