##########################################################################################
# initial vector basename: o_140
# final   vector basename: n_140
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -88.926     -85.485    1.436281e+00   -1.914248e-02    1.417138e+00  
 0.0   1     0.0   2    -88.926     -67.333    2.961462e-02    1.411278e-02    4.372740e-02  
 0.0   1     1.0   1    -88.926     -73.952    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -88.926       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -72.180     -85.485   -4.701816e-02    8.907435e-03   -3.811072e-02  
 0.0   2     0.0   2    -72.180     -67.333    1.414900e+00    9.661020e-03    1.424561e+00  
 0.0   2     1.0   1    -72.180     -73.952    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -72.180       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -92.162     -85.485    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -92.162     -67.333    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -92.162     -73.952    5.948719e-02    1.923417e-02    7.872135e-02  
 1.0   1     1.0   2    -92.162       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   1    -87.155     -85.485    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -87.155     -67.333    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -87.155     -73.952    5.851705e-02    1.440074e-02    7.291779e-02  
 1.0   2     1.0   2    -87.155       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
