##########################################################################################
# initial vector basename: n_140
# final   vector basename: c_140
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -92.950     -90.381    1.418835e+00   -2.776996e-03    1.416058e+00  
 0.0   1     0.0   2    -92.950     -73.228   -2.175313e-02    7.656875e-04   -2.098745e-02  
 0.0   1     1.0   1    -92.950     -93.469    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -92.950     -88.486    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -75.954     -90.381    1.778156e-02    3.625251e-03    2.140681e-02  
 0.0   2     0.0   2    -75.954     -73.228    1.413907e+00   -1.684184e-03    1.412223e+00  
 0.0   2     1.0   1    -75.954     -93.469    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -75.954     -88.486    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -81.544     -90.381    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -81.544     -73.228    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -81.544     -93.469    9.353929e-03    1.357326e-02    2.292719e-02  
 1.0   1     1.0   2    -81.544     -88.486    8.763323e-03    8.556790e-03    1.732011e-02  
 1.0   2     0.0   1      0.000     -90.381    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2      0.000     -73.228    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1      0.000     -93.469    1.592113e-58   -3.111170e-60    1.561001e-58  
 1.0   2     1.0   2      0.000     -88.486    0.000000e+00   -2.205852e-59   -2.205852e-59  
