##########################################################################################
# initial vector basename: o_140
# final   vector basename: n_140
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -90.381     -86.871    1.418924e+00   -3.454976e-03    1.415469e+00  
 0.0   1     0.0   2    -90.381     -69.759   -7.864548e-03    1.656489e-04   -7.698899e-03  
 0.0   1     1.0   1    -90.381     -75.214    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -90.381       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -73.228     -86.871    3.804577e-03    3.413700e-03    7.218278e-03  
 0.0   2     0.0   2    -73.228     -69.759    1.414069e+00   -1.773367e-03    1.412296e+00  
 0.0   2     1.0   1    -73.228     -75.214    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -73.228       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -93.469     -86.871    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -93.469     -69.759    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -93.469     -75.214    5.174369e-03    1.409096e-02    1.926533e-02  
 1.0   1     1.0   2    -93.469       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   1    -88.486     -86.871    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -88.486     -69.759    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -88.486     -75.214    4.668391e-03    1.102508e-02    1.569347e-02  
 1.0   2     1.0   2    -88.486       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
