##########################################################################################
# initial vector basename: o_140
# final   vector basename: n_140
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -88.476     -84.854    1.374634e+00    2.394058e-02    1.398575e+00  
 0.0   1     0.0   2    -88.476     -69.728   -4.668252e-02   -1.884935e-02   -6.553187e-02  
 0.0   1     1.0   1    -88.476     -73.460    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -88.476       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -71.740     -84.854    6.894932e-02   -9.598270e-03    5.935105e-02  
 0.0   2     0.0   2    -71.740     -69.728    1.398472e+00   -1.214437e-02    1.386327e+00  
 0.0   2     1.0   1    -71.740     -73.460    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -71.740       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -91.654     -84.854    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -91.654     -69.728    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -91.654     -73.460   -4.118440e-02    7.275064e-03   -3.390934e-02  
 1.0   1     1.0   2    -91.654       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   1    -86.713     -84.854    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -86.713     -69.728    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -86.713     -73.460    4.273299e-02   -5.541482e-03    3.719151e-02  
 1.0   2     1.0   2    -86.713       0.000    0.000000e+00    0.000000e+00    0.000000e+00  
