##########################################################################################
# initial vector basename: f_180
# final   vector basename: o_180
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -12.148      -8.691   -1.410742e+00    1.113646e-03   -1.409628e+00  
 0.0   1     0.0   2    -12.148      -3.052    1.753029e-02   -7.937694e-03    9.592592e-03  
 0.0   1     1.0   1    -12.148     -11.052    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -12.148      -4.800    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1     -6.247      -8.691   -1.627258e-02    8.887404e-03   -7.385172e-03  
 0.0   2     0.0   2     -6.247      -3.052   -1.408628e+00    8.784900e-04   -1.407750e+00  
 0.0   2     1.0   1     -6.247     -11.052    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2     -6.247      -4.800    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1     -1.937      -8.691    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2     -1.937      -3.052    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1     -1.937     -11.052    1.335302e-03   -6.938203e-03   -5.602901e-03  
 1.0   1     1.0   2     -1.937      -4.800    1.439193e-03    2.950192e-03    4.389385e-03  
 1.0   2     0.0   1     -0.188      -8.691    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2     -0.188      -3.052    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1     -0.188     -11.052    1.276235e-03    1.022993e-04    1.378534e-03  
 1.0   2     1.0   2     -0.188      -4.800    4.137453e-03    2.527594e-03    6.665047e-03  
