##########################################################################################
# initial vector basename: ne180
# final   vector basename: f_180
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1     -8.717      -4.187    1.408414e+00   -2.821960e-05    1.408386e+00  
 0.0   1     0.0   2     -8.717       0.697   -1.330787e-03    8.218844e-03    6.888058e-03  
 0.0   1     1.0   1     -8.717       4.984    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2     -8.717       6.351    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1     -3.007      -4.187    2.337510e-03   -8.249942e-03   -5.912432e-03  
 0.0   2     0.0   2     -3.007       0.697    1.410430e+00   -2.324997e-03    1.408105e+00  
 0.0   2     1.0   1     -3.007       4.984    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2     -3.007       6.351    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -11.056      -4.187    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -11.056       0.697    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -11.056       4.984    1.868438e-02   -2.499825e-02   -6.313864e-03  
 1.0   1     1.0   2    -11.056       6.351   -3.338633e-03    6.336160e-04   -2.705017e-03  
 1.0   2     0.0   1     -4.754      -4.187    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2     -4.754       0.697    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1     -4.754       4.984   -9.578474e-03    9.173373e-03   -4.051007e-04  
 1.0   2     1.0   2     -4.754       6.351   -6.977712e-03   -2.989645e-03   -9.967357e-03  
