##########################################################################################
# initial vector basename: f_180
# final   vector basename: o_180
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -12.446      -8.717   -1.408727e+00   -2.335984e-04   -1.408960e+00  
 0.0   1     0.0   2    -12.446      -3.007    4.495993e-03   -6.484819e-03   -1.988827e-03  
 0.0   1     1.0   1    -12.446     -11.056    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -12.446      -4.754    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1     -6.320      -8.717   -5.491654e-03    6.535096e-03    1.043442e-03  
 0.0   2     0.0   2     -6.320      -3.007   -1.410418e+00    1.991913e-03   -1.408426e+00  
 0.0   2     1.0   1     -6.320     -11.056    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2     -6.320      -4.754    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1     -1.939      -8.717    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2     -1.939      -3.007    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1     -1.939     -11.056    1.866693e-02   -5.492973e-03    1.317396e-02  
 1.0   1     1.0   2     -1.939      -4.754   -9.834752e-03    3.238898e-03   -6.595854e-03  
 1.0   2     0.0   1     -0.132      -8.717    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2     -0.132      -3.007    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1     -0.132     -11.056    4.146456e-03   -6.930676e-05    4.077149e-03  
 1.0   2     1.0   2     -0.132      -4.754    6.074461e-03    2.223536e-03    8.297996e-03  
