##########################################################################################
# initial vector basename: ne180
# final   vector basename: f_180
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1     -8.708      -4.625   -1.411970e+00    2.643689e-03   -1.409326e+00  
 0.0   1     0.0   2     -8.708       0.502    2.224733e-02   -9.155112e-03    1.309222e-02  
 0.0   1     1.0   1     -8.708       4.990    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2     -8.708       6.350    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1     -3.017      -4.625   -2.033187e-02    1.135923e-02   -8.972643e-03  
 0.0   2     0.0   2     -3.017       0.502   -1.408771e+00    4.271490e-04   -1.408344e+00  
 0.0   2     1.0   1     -3.017       4.990    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2     -3.017       6.350    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -11.062      -4.625    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -11.062       0.502    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -11.062       4.990   -1.594663e-02   -5.092483e-03   -2.103911e-02  
 1.0   1     1.0   2    -11.062       6.350    7.134782e-04   -8.420505e-04   -1.285723e-04  
 1.0   2     0.0   1     -4.789      -4.625    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2     -4.789       0.502    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1     -4.789       4.990    1.249643e-02    3.754486e-03    1.625091e-02  
 1.0   2     1.0   2     -4.789       6.350    1.883737e-04   -2.333880e-03   -2.145506e-03  
