##########################################################################################
# initial vector basename: na220
# final   vector basename: ne220
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -53.323     -48.921    1.414429e+00   -4.530882e-03    1.409898e+00  
 0.0   1     0.0   2    -53.323     -42.170    1.612438e-02   -2.618325e-03    1.350605e-02  
 0.0   1     1.0   1    -53.323     -49.592    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -53.323     -48.521    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -46.535     -48.921   -1.087955e-02   -4.134930e-03   -1.501448e-02  
 0.0   2     0.0   2    -46.535     -42.170    1.417203e+00   -4.008278e-03    1.413195e+00  
 0.0   2     1.0   1    -46.535     -49.592    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -46.535     -48.521    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -46.844     -48.921    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -46.844     -42.170    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -46.844     -49.592   -2.445478e-04   -6.853254e-04   -9.298732e-04  
 1.0   1     1.0   2    -46.844     -48.521    7.501623e-05    1.529116e-03    1.604132e-03  
 1.0   2     0.0   1    -45.424     -48.921    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -45.424     -42.170    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -45.424     -49.592   -9.043909e-03   -3.478717e-03   -1.252263e-02  
 1.0   2     1.0   2    -45.424     -48.521    7.782772e-03    2.483697e-03    1.026647e-02  
