# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0   0.48521589
  4   1   0.10517866
  5   2   0.01058980

-------------- TBTD ---------------------
  9   0   0.57124014
  9  21   0.19213786
  9  35   0.13277827
 10   3  -0.12286708
 10  23   0.02715397
 11   1   0.18325243
 11   4  -0.13595497
 11   7  -0.04205343
 11  22  -0.02445817
 11  24  -0.01351408
 12   5  -0.04339968
 12   8  -0.01764345
 13   2   0.35859795
 13   6   0.06328276
 15   3   0.04605861
 15  23  -0.00370203
 16   1  -0.07329878
 16   4   0.06983386
 16   7  -0.00755879
 16  22   0.00942967
 16  24  -0.00155025
 17   5   0.01356741
 17   8   0.03604142
 18   2   0.08972208
 18   6   0.06081513
 19   1  -0.03412609
 19   4   0.00362691
 19   7  -0.00960756
 19  22  -0.00432651
 19  24   0.00290811
 20   5  -0.00691128
 20   8   0.00592739
 25   3  -0.02032293
 25  23   0.00052739
 26   1   0.11901666
 26   4  -0.07463183
 26   7  -0.00378169
 26  22  -0.01521664
 26  24  -0.01431901
 27   5   0.02608529
 27   8  -0.00008235
 28   2  -0.00082775
 28   6  -0.03879929
 29   0   0.19581677
 29  21   0.07137764
 29  35   0.04931219
 30   3   0.00128888
 30  23  -0.00138712
 31   1  -0.02461906
 31   4   0.01773051
 31   7   0.00769067
 31  22   0.00943328
 31  24   0.00157595
 32   5   0.00495387
 32   8   0.00379711
 33   3  -0.00232267
 33  23  -0.00020559
 34   1   0.01899186
 34   4   0.00268192
 34   7   0.01119469
 34  22   0.00168041
 34  24  -0.00081892
 36   1  -0.02648238
 36   4  -0.00864339
 36   7   0.04959112
 36  22   0.01472535
 36  24   0.00845506
 37   5  -0.04259081
 37   8  -0.08649999
 38   3  -0.00088718
 38  23   0.00673222
 39   1   0.03791367
 39   4  -0.00973791
 39   7   0.00112515
 39  22  -0.00050047
 39  24  -0.01536941
 40   0   0.13492321
 40  21   0.04882216
 40  35   0.03741777
 41   3  -0.03354048
 41  23   0.00372760
 42   9  -0.18352999
 42  29  -0.06420747
 42  40  -0.07106410
 43  11   0.31097532
 43  16  -0.08922347
 43  19   0.04152300
 43  26   0.03920373
 43  31   0.01817202
 43  34  -0.06498483
 43  36   0.03388976
 43  39   0.00509166
 44  13   0.24135827
 44  18   0.01025133
 44  28  -0.09705066
 45  10   0.12226974
 45  15   0.00382747
 45  25   0.06905002
 45  30  -0.00115055
 45  33  -0.00522943
 45  38  -0.00664252
 45  41   0.03446780
 46  11  -0.09046237
