##########################################################################################
# initial vector basename: mg220
# final   vector basename: na220
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -48.900     -43.893    1.413952e+00   -2.734334e-03    1.411217e+00  
 0.0   1     0.0   2    -48.900     -37.508   -2.453831e-02    2.752865e-04   -2.426302e-02  
 0.0   1     1.0   1    -48.900     -37.884    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -48.900     -36.618    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -42.190     -43.893    2.336660e-02    4.271675e-03    2.763827e-02  
 0.0   2     0.0   2    -42.190     -37.508    1.411744e+00   -3.172111e-03    1.408572e+00  
 0.0   2     1.0   1    -42.190     -37.884    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -42.190     -36.618    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -49.593     -43.893    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -49.593     -37.508    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -49.593     -37.884   -1.417800e-03    5.990446e-05   -1.357895e-03  
 1.0   1     1.0   2    -49.593     -36.618   -1.140243e-03    8.024399e-04   -3.378029e-04  
 1.0   2     0.0   1    -48.552     -43.893    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -48.552     -37.508    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -48.552     -37.884   -5.383919e-03   -3.913333e-03   -9.297253e-03  
 1.0   2     1.0   2    -48.552     -36.618    1.039526e-02    1.700671e-04    1.056533e-02  
