##########################################################################################
# initial vector basename: na220
# final   vector basename: ne220
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -53.131     -48.900   -1.413990e+00    2.407476e-03   -1.411583e+00  
 0.0   1     0.0   2    -53.131     -42.190   -3.992270e-03   -3.613628e-04   -4.353633e-03  
 0.0   1     1.0   1    -53.131     -49.593    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -53.131     -48.552    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -46.437     -48.900   -5.217795e-03    3.929324e-03   -1.288471e-03  
 0.0   2     0.0   2    -46.437     -42.190    1.413804e+00   -2.811058e-03    1.410993e+00  
 0.0   2     1.0   1    -46.437     -49.593    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -46.437     -48.552    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -46.811     -48.900    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -46.811     -42.190    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -46.811     -49.593   -1.607144e-03    2.801505e-04   -1.326994e-03  
 1.0   1     1.0   2    -46.811     -48.552   -4.722418e-03   -2.040222e-03   -6.762640e-03  
 1.0   2     0.0   1    -45.400     -48.900    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -45.400     -42.190    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -45.400     -49.593   -1.943444e-03   -1.298823e-03   -3.242268e-03  
 1.0   2     1.0   2    -45.400     -48.552    1.092413e-02    2.084466e-03    1.300860e-02  
