# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0  -0.48225782
  4   1  -0.10715653
  5   2  -0.01304886

-------------- TBTD ---------------------
  9   0  -0.57016525
  9  21  -0.19794676
  9  35  -0.13670151
 10   3   0.12460046
 10  23  -0.02675780
 11   1  -0.18052527
 11   4   0.13666757
 11   7   0.04262355
 11  22   0.02458496
 11  24   0.01317903
 12   5   0.04385132
 12   8   0.01622011
 13   2  -0.35563799
 13   6  -0.06295702
 15   3  -0.04723979
 15  23   0.00357172
 16   1   0.07154328
 16   4  -0.06984040
 16   7   0.00698977
 16  22  -0.00988504
 16  24   0.00220992
 17   5  -0.01364617
 17   8  -0.03521101
 18   2  -0.08822460
 18   6  -0.06204733
 19   1   0.03352814
 19   4  -0.00440810
 19   7   0.00802454
 19  22   0.00383188
 19  24  -0.00190604
 20   5   0.00698532
 20   8  -0.00761798
 25   3   0.02179759
 25  23  -0.00039545
 26   1  -0.11990343
 26   4   0.07551283
 26   7   0.00324025
 26  22   0.01571793
 26  24   0.01440344
 27   5  -0.02688732
 27   8  -0.00060529
 28   2  -0.00028919
 28   6   0.03915401
 29   0  -0.19541060
 29  21  -0.07357843
 29  35  -0.05053994
 30   3  -0.00143960
 30  23   0.00150717
 31   1   0.02467552
 31   4  -0.01800930
 31   7  -0.00773483
 31  22  -0.00985556
 31  24  -0.00142101
 32   5  -0.00490232
 32   8  -0.00373493
 33   3   0.00262594
 33  23   0.00018420
 34   1  -0.01933367
 34   4  -0.00274412
 34   7  -0.01170869
 34  22  -0.00168526
 34  24   0.00060767
 36   1   0.02710259
 36   4   0.00853970
 36   7  -0.04947444
 36  22  -0.01494120
 36  24  -0.00831927
 37   5   0.04303134
 37   8   0.08597991
 38   3   0.00059512
 38  23  -0.00703243
 39   1  -0.03759065
 39   4   0.00946948
 39   7  -0.00137412
 39  22   0.00026040
 39  24   0.01578711
 40   0  -0.13461799
 40  21  -0.05052424
 40  35  -0.03876896
 41   3   0.03472956
 41  23  -0.00361806
 42   9   0.18490725
 42  29   0.06287777
 42  40   0.06955592
 43  11  -0.31263883
 43  16   0.08522167
 43  19  -0.04253113
 43  26  -0.03992627
 43  31  -0.01945566
 43  34   0.06378931
 43  36  -0.03473452
 43  39  -0.00651173
 44  13  -0.24362768
 44  18  -0.01081074
 44  28   0.09908615
 45  10  -0.12158054
 45  15  -0.00241064
 45  25  -0.07033122
 45  30   0.00141114
 45  33   0.00439843
 45  38   0.00679536
 45  41  -0.03417223
 46  11   0.08998900
 46  16  -0.02502155
 46  19   0.02566082
 46  26   0.02143770
 46  31   0.00603924
 46  34  -0.01262982
 46  36   0.01176584
 46  39   0.00617565
 47  12  -0.04303647
 47  17  -0.02964415
 47  20  -0.02885681
 47  27  -0.01808624
 47  32   0.00445032
 47  37  -0.02068504
 48  13  -0.07521670
 48  18  -0.02625165
 48  28   0.05030121
 49  11  -0.05371794
 49  16   0.01264343
 49  19  -0.07382347
 49  26  -0.02328632
 49  31  -0.01705387
 49  34   0.01634830
 49  36  -0.01715105
 49  39  -0.00317003
 50  12  -0.01694998
 50  17   0.01307124
 50  20  -0.08292860
 50  27  -0.02174507
 50  32   0.00353908
 50  37   0.00556486
 51   9   0.06223465
 51  29   0.01815263
 51  40   0.02114395
 52  11  -0.01763669
 52  16   0.00121896
 52  19  -0.02053881
 52  26  -0.00663268
 52  31  -0.00855756
 52  34   0.00438148
 52  36  -0.00266622
 52  39  -0.00286012
 53  10   0.02578609
 53  15   0.00346382
 53  25   0.00734229
 53  30  -0.00143484
 53  33  -0.00919401
 53  38  -0.00216667
 53  41   0.00346410
 54  11   0.04851857
 54  16  -0.01694746
 54  19   0.00646797
 54  26   0.00106050
 54  31   0.00536452
 54  34  -0.01914218
 54  36   0.01257383
 54  39   0.00291201
 55   9   0.06805119
 55  29   0.02092743
 55  40   0.01868926

Jf nJf  Ji nJi  Lambda =   0 2      0 1      0
-------------- OBTD ---------------------
  3   0  -0.10788564
  4   1  -0.01297025
  5   2   0.20005455

-------------- TBTD ---------------------
  9   0   0.09003681
  9  21   0.03158724
  9  35   0.02656813
 10   3   0.02907356
 10  23  -0.01382927
 11   1  -0.04489053
