##########################################################################################
# initial vector basename: mg220
# final   vector basename: na220
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -48.899     -43.999    1.412027e+00   -9.149922e-05    1.411936e+00  
 0.0   1     0.0   2    -48.899     -37.571   -5.899060e-03   -1.871598e-03   -7.770658e-03  
 0.0   1     1.0   1    -48.899     -37.858    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -48.899     -36.578    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -42.168     -43.999   -7.704889e-03   -3.562198e-03   -1.126709e-02  
 0.0   2     0.0   2    -42.168     -37.571   -1.407019e+00    1.525087e-03   -1.405494e+00  
 0.0   2     1.0   1    -42.168     -37.858    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -42.168     -36.578    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -49.590     -43.999    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -49.590     -37.571    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -49.590     -37.858   -3.928968e-03    3.526881e-04   -3.576280e-03  
 1.0   1     1.0   2    -49.590     -36.578    2.802664e-03   -4.882567e-04    2.314408e-03  
 1.0   2     0.0   1    -48.536     -43.999    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -48.536     -37.571    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -48.536     -37.858    1.064737e-02    2.163994e-03    1.281136e-02  
 1.0   2     1.0   2    -48.536     -36.578   -8.993965e-03    8.062477e-04   -8.187717e-03  
