##########################################################################################
# initial vector basename: na220
# final   vector basename: ne220
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -52.994     -48.899    1.411841e+00    3.934853e-04    1.412234e+00  
 0.0   1     0.0   2    -52.994     -42.168   -2.292565e-02    2.132190e-03   -2.079346e-02  
 0.0   1     1.0   1    -52.994     -49.590    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -52.994     -48.536    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -46.312     -48.899    2.154661e-02   -3.515414e-03    1.803120e-02  
 0.0   2     0.0   2    -46.312     -42.168    1.408944e+00   -1.190026e-03    1.407754e+00  
 0.0   2     1.0   1    -46.312     -49.590    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -46.312     -48.536    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -46.785     -48.899    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -46.785     -42.168    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -46.785     -49.590   -3.528863e-03   -1.662276e-04   -3.695090e-03  
 1.0   1     1.0   2    -46.785     -48.536    8.831729e-03    2.475954e-03    1.130768e-02  
 1.0   2     0.0   1    -45.371     -48.899    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -45.371     -42.168    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -45.371     -49.590    2.867636e-03    1.594150e-04    3.027051e-03  
 1.0   2     1.0   2    -45.371     -48.536   -1.073316e-02   -1.382581e-03   -1.211574e-02  
