# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0   0.37848538
  4   1   0.12643058
  5   2   0.16525890

-------------- TBTD ---------------------
  9   0   0.38382440
  9  21   0.20346183
  9  35   0.19809127
 10   3  -0.09653401
 10  23  -0.00918279
 11   1   0.33012134
 11   4  -0.01211610
 11   7  -0.04672614
 11  22  -0.03679060
 11  24  -0.00106521
 12   5  -0.03355278
 12   8   0.09473463
 13   2   0.49238514
 13   6  -0.05033008
 15   3   0.08834885
 15  23   0.00167012
 16   1  -0.00063881
 16   4   0.07144240
 16   7   0.01200876
 16  22   0.01033376
 16  24  -0.01316228
 17   5   0.05713561
 17   8  -0.00296535
 18   2   0.01141408
 18   6   0.12253302
 19   1   0.00882243
 19   4  -0.00855106
 19   7   0.15979465
 19  22  -0.00854780
 19  24  -0.01104105
 20   5   0.02243930
 20   8   0.17979904
 25   3  -0.01476953
 25  23   0.01398965
 26   1   0.01646319
 26   4  -0.06583974
 26   7   0.04940071
 26  22   0.01223515
 26  24   0.00495783
 27   5   0.08322466
 27   8   0.05015008
 28   2   0.08183545
 28   6  -0.07272032
 29   0   0.19813217
 29  21   0.14502079
 29  35   0.12076939
 30   3   0.01879686
 30  23  -0.00194570
 31   1  -0.03310554
 31   4  -0.00104347
 31   7  -0.02307838
 31  22   0.04300365
 31  24  -0.00341434
 32   5  -0.01000948
 32   8  -0.00736202
 33   3  -0.00126294
