# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0  -0.37874306
  4   1  -0.12319893
  5   2  -0.16945617

-------------- TBTD ---------------------
  9   0  -0.38287286
  9  21  -0.20046074
  9  35  -0.20139209
 10   3   0.09582368
 10  23   0.01003651
 11   1  -0.33065595
 11   4   0.01112775
 11   7   0.04666464
 11  22   0.03471852
 11  24   0.00266383
 12   5   0.03364654
 12   8  -0.09800978
 13   2  -0.49303169
 13   6   0.05094972
 15   3  -0.08546804
 15  23  -0.00160303
 16   1   0.00052574
 16   4  -0.06926132
 16   7  -0.01125760
 16  22  -0.00979440
 16  24   0.01271625
 17   5  -0.05593823
 17   8   0.00326010
 18   2  -0.01122263
 18   6  -0.11913391
 19   1  -0.00993633
 19   4   0.00835846
 19   7  -0.16409957
 19  22   0.00785504
 19  24   0.01178249
 20   5  -0.02285787
 20   8  -0.18436954
 25   3   0.01488356
 25  23  -0.01413372
 26   1  -0.01592323
 26   4   0.06586501
 26   7  -0.05095519
 26  22  -0.01221076
 26  24  -0.00578716
 27   5  -0.08401931
 27   8  -0.05214137
 28   2  -0.08269771
 28   6   0.07236145
 29   0  -0.19816452
 29  21  -0.14236697
 29  35  -0.12218239
 30   3  -0.01839556
 30  23   0.00183281
 31   1   0.03295490
 31   4   0.00134849
 31   7   0.02371279
 31  22  -0.04187311
 31  24   0.00299934
 32   5   0.00975241
 32   8   0.00766150
 33   3   0.00112464
 33  23  -0.03102121
 34   1   0.01435713
 34   4   0.00967167
 34   7  -0.02794284
 34  22   0.00014357
 34  24  -0.04044154
 36   1   0.07704954
 36   4   0.03147668
 36   7  -0.07731952
 36  22   0.02637696
 36  24  -0.02748361
 37   5   0.02547417
 37   8   0.08542760
 38   3  -0.01652981
 38  23  -0.01690322
 39   1   0.00833280
 39   4  -0.00871067
 39   7  -0.01163603
 39  22  -0.00307810
 39  24   0.02712439
 40   0  -0.19052856
 40  21  -0.11699957
 40  35  -0.14095605
 41   3   0.04241805
 41  23  -0.00133810
 42   9   0.28071839
 42  29   0.14481231
 42  40   0.12890437
 43  11  -0.35140331
 43  16  -0.04350624
 43  19   0.02006267
 43  26   0.05763669
 43  31  -0.04186707
 43  34   0.03448934
 43  36  -0.06820814
 43  39  -0.05877675
 44  13  -0.48321140
 44  18   0.04714838
 44  28   0.04605498
 45  10  -0.09452388
 45  15  -0.01325863
 45  25  -0.11203743
 45  30   0.01844374
 45  33  -0.00990417
 45  38   0.00802426
 45  41  -0.04261749
 46  11  -0.06989076
 46  16  -0.06305713
 46  19   0.02734272
 46  26   0.06767628
 46  31  -0.01488547
 46  34   0.02326788
 46  36   0.00497306
 46  39  -0.02416490
 47  12  -0.03367112
 47  17  -0.09902588
 47  20  -0.00862248
 47  27  -0.07312254
 47  32  -0.01024496
 47  37   0.00648468
 48  13   0.00158002
 48  18  -0.05693896
 48  28   0.10460857
 49  11  -0.03257355
 49  16   0.04646265
 49  19  -0.06820263
 49  26   0.01343852
 49  31  -0.01003556
 49  34   0.03525720
 49  36  -0.15588622
 49  39   0.00327207
 50  12   0.09694440
 50  17  -0.03448101
 50  20  -0.07456954
 50  27   0.01935614
 50  32  -0.00759676
 50  37   0.17440383
 51   9   0.14344995
 51  29   0.06277262
 51  40   0.05713140
 52  11  -0.03972337
 52  16   0.00054759
 52  19   0.00199601
 52  26   0.02132634
 52  31  -0.03295071
 52  34   0.00970900
 52  36  -0.01685360
 52  39  -0.00699065
 53  10  -0.01038188
 53  15  -0.00700946
 53  25   0.00433941
 53  30  -0.00168461
 53  33  -0.01791014
 53  38  -0.03187930
 53  41   0.00114465
 54  11   0.06358607
 54  16   0.01934298
 54  19  -0.00334294
 54  26  -0.02695860
 54  31   0.01182537
 54  34  -0.03867133
 54  36   0.03615847
 54  39   0.05180862
 55   9   0.12924330
 55  29   0.05823802
 55  40   0.01589340

Jf nJf  Ji nJi  Lambda =   0 2      0 1      0
-------------- OBTD ---------------------
  3   0   0.16927401
  4   1  -0.19650064
  5   2  -0.03366519

-------------- TBTD ---------------------
  9   0  -0.00526407
  9  21   0.04016026
  9  35   0.04522483
 10   3  -0.03436123
 10  23  -0.01739727
 11   1   0.22763903
 11   4   0.00415324
 11   7   0.04642660
 11  22  -0.01515322
 11  24  -0.04832475
 12   5  -0.01372517
 12   8   0.10627483
 13   2   0.24851923
 13   6  -0.02987500
 15   3  -0.14134798
 15  23   0.01629963
 16   1  -0.01534667
 16   4  -0.11427415
 16   7  -0.05229275
 16  22  -0.02848332
 16  24   0.01289993
 17   5  -0.10664737
 17   8   0.04466136
 18   2   0.03568155
