##########################################################################################
# initial vector basename: al260
# final   vector basename: mg260
# One body file: Fermi_1b.op
# Two body file: Fermi_2b.op
# Jf  nJf     Ji  nJi      Ef          Ei         <Op1b>          <Op2b>         <Op1b+2b> 
###########################################################################################
 0.0   1     0.0   1    -97.400     -92.548   -1.411378e+00   -1.160069e-04   -1.411494e+00  
 0.0   1     0.0   2    -97.400     -88.690    3.167768e-02   -2.201621e-03    2.947606e-02  
 0.0   1     1.0   1    -97.400     -91.915    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   1     1.0   2    -97.400     -91.771    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     0.0   1    -93.618     -92.548    2.791501e-02    2.178830e-04    2.813290e-02  
 0.0   2     0.0   2    -93.618     -88.690    1.408736e+00    2.973820e-03    1.411710e+00  
 0.0   2     1.0   1    -93.618     -91.915    0.000000e+00    0.000000e+00    0.000000e+00  
 0.0   2     1.0   2    -93.618     -91.771    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   1    -91.328     -92.548    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     0.0   2    -91.328     -88.690    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   1     1.0   1    -91.328     -91.915   -2.025493e-03    3.649134e-04   -1.660580e-03  
 1.0   1     1.0   2    -91.328     -91.771   -1.053918e-03   -5.115564e-04   -1.565474e-03  
 1.0   2     0.0   1    -90.388     -92.548    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     0.0   2    -90.388     -88.690    0.000000e+00    0.000000e+00    0.000000e+00  
 1.0   2     1.0   1    -90.388     -91.915   -6.096915e-03    3.150141e-03   -2.946774e-03  
 1.0   2     1.0   2    -90.388     -91.771    2.581107e-03   -2.144535e-03    4.365721e-04  
