# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0  -0.38008063
  4   1  -0.12793942
  5   2  -0.15993421

-------------- TBTD ---------------------
  9   0  -0.38388871
  9  21  -0.20545194
  9  35  -0.19431060
 10   3   0.09753645
 10  23   0.00847189
 11   1  -0.33367142
 11   4   0.01215637
 11   7   0.04696734
 11  22   0.03883049
 11  24  -0.00029928
 12   5   0.03381161
 12   8  -0.09271496
 13   2  -0.49652599
 13   6   0.05065605
 15   3  -0.09012667
 15  23  -0.00173506
 16   1   0.00054066
 16   4  -0.07273401
 16   7  -0.01260448
 16  22  -0.01063379
 16  24   0.01328252
 17   5  -0.05789705
 17   8   0.00262048
 18   2  -0.01148341
 18   6  -0.12459297
 19   1  -0.00804519
 19   4   0.00890346
 19   7  -0.15499039
 19  22   0.00901797
 19  24   0.01023384
 20   5  -0.02228610
 20   8  -0.17440578
 25   3   0.01451049
 25  23  -0.01357584
 26   1  -0.01594557
 26   4   0.06525514
 26   7  -0.04773210
 26  22  -0.01214806
 26  24  -0.00424840
 27   5  -0.08182486
 27   8  -0.04840039
 28   2  -0.08210435
 28   6   0.07258921
 29   0  -0.19748604
 29  21  -0.14596037
 29  35  -0.11827848
 30   3  -0.01906390
 30  23   0.00196213
 31   1   0.03328737
 31   4   0.00083941
 31   7   0.02204843
 31  22  -0.04309055
 31  24   0.00374659
 32   5   0.01015763
 32   8   0.00695627
 33   3   0.00129096
 33  23  -0.02892030
 34   1   0.01533950
 34   4   0.00934685
 34   7  -0.02663375
 34  22  -0.00025234
 34  24  -0.03731086
 36   1   0.07481551
 36   4   0.03107993
 36   7  -0.07509056
 36  22   0.02719562
 36  24  -0.02828519
 37   5   0.02507542
 37   8   0.08596006
 38   3  -0.01654342
 38  23  -0.01698557
 39   1   0.00897021
 39   4  -0.00907057
 39   7  -0.01180372
 39  22  -0.00328755
 39  24   0.02754330
 40   0  -0.19043461
 40  21  -0.11915112
 40  35  -0.13391277
 41   3   0.04295721
 41  23  -0.00156230
 42   9   0.28101068
 42  29   0.14816602
 42  40   0.13405655
 43  11  -0.35072533
 43  16  -0.03976182
 43  19   0.02129796
 43  26   0.05727929
 43  31  -0.04020254
 43  34   0.03552966
 43  36  -0.06467857
 43  39  -0.05361169
 44  13  -0.48013375
 44  18   0.04715808
 44  28   0.04707395
