# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0  -0.11030572
  4   1  -0.32978593
  5   2  -0.34240060

-------------- TBTD ---------------------
  9   0  -0.17535260
  9  21  -0.16453080
  9  35  -0.11519976
 10   3   0.02875150
 10  23  -0.01973363
 11   1  -0.09861096
 11   4  -0.00014362
 11   7   0.02924697
 11  22   0.03848687
 11  24  -0.08716805
 12   5   0.00442815
 12   8   0.01883708
 13   2  -0.15872664
 13   6   0.02073495
 15   3  -0.25969660
 15  23   0.01616726
 16   1  -0.01366619
 16   4  -0.29328225
 16   7  -0.04261723
 16  22  -0.01268396
 16  24  -0.00450963
 17   5  -0.32019480
 17   8   0.02499852
 18   2   0.01391896
 18   6  -0.41845088
 19   1   0.01642285
 19   4  -0.04569854
 19   7  -0.45712859
 19  22  -0.03044374
 19  24   0.03120332
 20   5   0.04116365
 20   8  -0.56323706
 25   3   0.01420903
 25  23  -0.02260019
 26   1  -0.01401846
 26   4   0.02021704
 26   7   0.00141799
 26  22  -0.03817985
 26  24   0.04658853
 27   5  -0.02904086
 27   8   0.02636442
 28   2  -0.01540661
 28   6   0.05999428
 29   0  -0.16160101
 29  21  -0.34670566
 29  35  -0.26439428
 30   3  -0.02808999
 30  23  -0.00929963
 31   1   0.03751764
 31   4   0.01804089
 31   7   0.01542816
 31  22  -0.14093613
 31  24   0.01055129
 32   5   0.02802181
