# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0   0.05232166
  4   1   0.59385115
  5   2   0.06886109

-------------- TBTD ---------------------
  9   0   0.08905037
  9  21   0.11519772
  9  35   0.04767016
 10   3  -0.01021227
 10  23  -0.00040880
 11   1   0.05181880
 11   4   0.00370917
 11   7  -0.01257673
 11  22  -0.05712913
 11  24   0.02412510
 12   5   0.00531310
 12   8  -0.00064397
 13   2   0.08187389
 13   6  -0.00883006
 15   3   0.51599532
 15  23   0.01563505
 16   1   0.01203573
 16   4   0.60910916
 16   7   0.01854987
 16  22   0.02091329
 16  24  -0.04435549
 17   5   0.67109296
 17   8  -0.01148702
 18   2  -0.00953687
 18   6   0.84547456
 19   1  -0.00780072
 19   4   0.01024590
 19   7   0.09520860
 19  22  -0.03019450
 19  24   0.00731771
 20   5   0.00041889
 20   8   0.12211328
 25   3   0.00220158
 25  23   0.01262255
 26   1   0.00872287
 26   4  -0.02833884
 26   7   0.00885909
 26  22   0.05910882
 26  24  -0.01774273
 27   5   0.04533675
 27   8   0.00037191
 28   2   0.00149363
 28   6  -0.04528114
 29   0   0.10949766
 29  21   0.62105522
 29  35   0.09768719
 30   3   0.04369568
 30  23  -0.06245723
 31   1  -0.05233957
 31   4  -0.02433972
 31   7  -0.05675400
 31  22   0.39390259
 31  24   0.01061928
 32   5  -0.04425323
 32   8  -0.00576694
 33   3  -0.00431389
 33  23   0.04215512
 34   1   0.01371825
 34   4   0.02199846
 34   7   0.02136928
 34  22   0.04641358
 34  24   0.06070901
 36   1  -0.00940621
 36   4  -0.00059617
 36   7   0.02907911
 36  22  -0.06098501
 36  24   0.02115752
 37   5   0.01326550
 37   8  -0.04848994
 38   3   0.03105260
 38  23   0.42698232
 39   1  -0.01714348
 39   4   0.04758333
 39   7  -0.00648892
 39  22   0.02400562
 39  24  -0.56264978
 40   0   0.04603260
 40  21   0.09842656
 40  35   0.09314010
 41   3  -0.01900584
 41  23  -0.00072491
 42   9  -0.05035508
 42  29  -0.21528449
 42  40  -0.07499747
 43  11   0.05884129
 43  16  -0.00246487
 43  19  -0.00096250
 43  26  -0.02388562
 43  31   0.00338458
 43  34   0.01267716
 43  36   0.00103121
 43  39  -0.00623564
 44  13   0.08004033
 44  18  -0.00086248
 44  28   0.01144501
 45  10   0.01077393
 45  15   0.01111527
 45  25   0.52569895
 45  30  -0.04445844
 45  33   0.02226178
 45  38  -0.01701094
 45  41   0.02042220
 46  11   0.01371002
 46  16   0.02385459
 46  19   0.00273609
 46  26  -0.59712984
 46  31   0.04872584
 46  34  -0.06791789
 46  36   0.01504535
 46  39  -0.00724000
 47  12  -0.00581644
 47  17   0.06177463
 47  20  -0.01732086
 47  27   0.67700551
 47  32   0.04440250
 47  37   0.00433228
 48  13  -0.00718731
 48  18   0.04522678
 48  28  -0.84123553
 49  11   0.00005479
 49  16  -0.00642471
 49  19   0.03452273
 49  26  -0.02482123
 49  31   0.02790323
 49  34  -0.01710802
 49  36   0.10113308
 49  39   0.00121169
 50  12   0.00045744
 50  17  -0.00428170
 50  20   0.04608914
 50  27  -0.01928841
 50  32   0.00668698
 50  37  -0.11971680
 51   9  -0.19943610
 51  29  -0.14413671
 51  40  -0.17670732
 52  11   0.00149655
 52  16  -0.00701318
 52  19   0.00244293
 52  26  -0.07228896
 52  31   0.35458057
 52  34  -0.06189412
 52  36   0.03332050
 52  39  -0.00848687
 53  10   0.00015479
 53  15  -0.00057325
 53  25   0.00579681
 53  30   0.06468019
 53  33   0.44214727
 53  38   0.05975648
 53  41   0.00153307
 54  11   0.01082290
 54  16   0.00430443
 54  19  -0.00256516
 54  26   0.06517361
 54  31  -0.03848459
 54  34   0.56246040
 54  36  -0.01775193
 54  39  -0.06339524
 55   9  -0.07354395
 55  29  -0.18734936
 55  40  -0.00640948

Jf nJf  Ji nJi  Lambda =   0 2      0 1      0
-------------- OBTD ---------------------
  3   0  -0.06545839
  4   1   0.19632143
  5   2  -0.18558303

-------------- TBTD ---------------------
  9   0  -0.02264947
  9  21   0.03273720
  9  35  -0.02795952
 10   3   0.01435180
 10  23   0.00528838
 11   1  -0.08016339
 11   4   0.00469495
 11   7   0.00874000
 11  22  -0.04278975
 11  24  -0.01903354
 12   5   0.00709218
 12   8   0.00285283
 13   2  -0.10993475
 13   6  -0.00101460
 15   3   0.14872100
 15  23  -0.01335359
 16   1  -0.00429153
 16   4   0.19829881
 16   7  -0.02795166
 16  22   0.02804328
 16  24  -0.00368362
 17   5   0.22977821
 17   8   0.01605199
 18   2  -0.00220448
 18   6   0.27760594
 19   1   0.00116041
 19   4  -0.01773132
 19   7  -0.27716170
 19  22  -0.04293824
 19  24   0.01686923
 20   5   0.01310865
 20   8  -0.33191668
 25   3  -0.00216303
 25  23   0.01855975
 26   1  -0.00980657
 26   4   0.03476685
 26   7  -0.01675791
 26  22   0.03414326
 26  24   0.05979518
 27   5  -0.07031016
 27   8   0.00086803
 28   2  -0.00524749
 28   6   0.05602727
 29   0   0.02077835
 29  21   0.21903265
 29  35  -0.08708281
 30   3   0.03872316
 30  23  -0.02532852
 31   1  -0.00768778
 31   4  -0.01266099
 31   7  -0.00873989
 31  22   0.02977508
 31  24  -0.01043938
 32   5  -0.04885778
 32   8   0.00456625
 33   3   0.02907897
 33  23  -0.13172680
 34   1  -0.02052240
 34   4  -0.04329331
 34   7  -0.04031652
 34  22   0.04330409
 34  24  -0.16902430
 36   1   0.00846516
 36   4   0.01476126
 36   7  -0.03694766
 36  22  -0.04184242
 36  24  -0.04425606
 37   5   0.01115790
 37   8   0.06535126
 38   3   0.00090113
 38  23   0.23440441
 39   1   0.00213413
 39   4   0.02956159
 39   7  -0.00945299
 39  22   0.01171381
 39  24  -0.26032913
 40   0  -0.00085716
 40  21  -0.03160976
 40  35  -0.18247430
 41   3   0.04342215
 41  23   0.00328525
 42   9   0.02387907
 42  29  -0.02117916
 42  40   0.19262450
 43  11  -0.07809068
 43  16  -0.00305942
 43  19   0.00468529
 43  26  -0.00419421
 43  31   0.00075766
 43  34   0.00825993
 43  36  -0.00065317
 43  39   0.01812316
 44  13  -0.10838356
 44  18   0.01072430
 44  28   0.00711165
