# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0   0.04564361
  4   1   0.60813039
  5   2   0.06083832

-------------- TBTD ---------------------
  9   0   0.08861823
  9  21   0.11679401
  9  35   0.04860502
 10   3  -0.00981757
 10  23  -0.00067559
 11   1   0.04291553
 11   4   0.00336906
 11   7  -0.01262271
 11  22  -0.05692765
 11  24   0.02291753
 12   5   0.00641492
 12   8  -0.00045226
 13   2   0.07050071
 13   6  -0.00846097
 15   3   0.52795911
 15  23   0.01725515
 16   1   0.01369986
 16   4   0.62052698
 16   7   0.01966797
 16  22   0.02225466
 16  24  -0.04748315
 17   5   0.68149707
 17   8  -0.01280798
 18   2  -0.01102601
 18   6   0.86329844
 19   1  -0.00820124
 19   4   0.01001282
 19   7   0.08295104
 19  22  -0.02927859
 19  24   0.00776582
 20   5   0.00164774
 20   8   0.10757685
 25   3  -0.00009552
 25  23   0.01158441
 26   1   0.00902807
 26   4  -0.02539420
 26   7   0.00910738
 26  22   0.05640158
 26  24  -0.01728106
 27   5   0.04018101
 27   8   0.00053700
 28   2   0.00096673
 28   6  -0.04023049
 29   0   0.11433994
 29  21   0.63245356
 29  35   0.09733370
 30   3   0.04431068
 30  23  -0.06391166
 31   1  -0.05617497
 31   4  -0.02480434
 31   7  -0.06122466
 31  22   0.41415261
 31  24   0.01290725
 32   5  -0.04494939
 32   8  -0.00581038
 33   3  -0.00403324
 33  23   0.03650024
 34   1   0.01319453
 34   4   0.02056222
 34   7   0.02078237
 34  22   0.04536000
 34  24   0.05325698
 36   1  -0.00947123
 36   4   0.00013845
 36   7   0.02341143
 36  22  -0.05782662
 36  24   0.01979253
 37   5   0.01357569
 37   8  -0.04162118
 38   3   0.03253204
 38  23   0.43813865
 39   1  -0.01933605
 39   4   0.05043529
 39   7  -0.00758767
 39  22   0.02486988
 39  24  -0.57619855
 40   0   0.04805403
 40  21   0.09817331
 40  35   0.08621977
 41   3  -0.01821690
 41  23  -0.00143075
 42   9  -0.04716295
 42  29  -0.19911289
 42  40  -0.06867117
 43  11   0.05127892
 43  16  -0.00166996
 43  19  -0.00061935
 43  26  -0.02087528
 43  31   0.00037973
 43  34   0.01090219
 43  36   0.00092518
 43  39  -0.00489284
 44  13   0.06982521
 44  18   0.00015555
 44  28   0.00976786
 45  10   0.00939366
 45  15   0.00904232
 45  25   0.53590316
 45  30  -0.04395559
 45  33   0.02093651
 45  38  -0.01585707
 45  41   0.01777222
 46  11   0.01357513
 46  16   0.01914623
 46  19   0.00296907
 46  26  -0.61492286
 46  31   0.04625911
 46  34  -0.06486851
 46  36   0.01289177
 46  39  -0.00608111
 47  12  -0.00632302
 47  17   0.05635114
 47  20  -0.01800585
 47  27   0.69901700
 47  32   0.04464222
 47  37   0.00342110
 48  13  -0.00678679
 48  18   0.04078598
 48  28  -0.86411994
 49  11   0.00014161
 49  16  -0.00600761
 49  19   0.03001203
 49  26  -0.02188924
 49  31   0.02327590
 49  34  -0.01560261
 49  36   0.08954386
 49  39   0.00259330
 50  12   0.00046083
 50  17  -0.00423068
 50  20   0.03994839
 50  27  -0.01678060
 50  32   0.00614336
 50  37  -0.10576389
 51   9  -0.19984202
 51  29  -0.13676742
 51  40  -0.17791369
 52  11   0.00052742
 52  16  -0.00638118
 52  19   0.00116566
 52  26  -0.07205093
 52  31   0.34572594
 52  34  -0.06096184
 52  36   0.03245388
 52  39  -0.00880946
 53  10   0.00025664
 53  15   0.00068292
 53  25   0.00470036
 53  30   0.06463211
 53  33   0.45601623
 53  38   0.05383900
 53  41   0.00123247
 54  11   0.01110667
 54  16   0.00130195
 54  19  -0.00327031
 54  26   0.06074284
 54  31  -0.03940794
 54  34   0.57930891
 54  36  -0.01493998
 54  39  -0.05631448
 55   9  -0.06754214
 55  29  -0.17370254
 55  40  -0.00772086

Jf nJf  Ji nJi  Lambda =   0 2      0 1      0
-------------- OBTD ---------------------
  3   0   0.06339626
  4   1  -0.20463106
  5   2   0.17023606

-------------- TBTD ---------------------
  9   0   0.01950954
  9  21  -0.03382951
  9  35   0.02579151
 10   3  -0.01430197
 10  23  -0.00475232
 11   1   0.07759014
 11   4  -0.00384491
 11   7  -0.00847704
 11  22   0.04263341
 11  24   0.01768073
 12   5  -0.00745191
 12   8  -0.00270353
 13   2   0.10646630
 13   6   0.00129907
 15   3  -0.15411854
 15  23   0.01328931
 16   1   0.00457020
 16   4  -0.20524198
 16   7   0.02787840
 16  22  -0.02858487
 16  24   0.00296737
 17   5  -0.23804641
 17   8  -0.01676209
 18   2   0.00225754
 18   6  -0.28771640
 19   1  -0.00117152
 19   4   0.01824085
 19   7   0.25362649
 19  22   0.04216508
 19  24  -0.01669839
 20   5  -0.01375300
 20   8   0.30366640
 25   3   0.00246567
 25  23  -0.01598146
 26   1   0.00942998
 26   4  -0.03422096
 26   7   0.01627333
 26  22  -0.03304114
 26  24  -0.05363007
 27   5   0.06784753
 27   8  -0.00060944
 28   2   0.00505992
 28   6  -0.05481945
 29   0  -0.02394671
 29  21  -0.22325457
 29  35   0.07978646
 30   3  -0.03856993
 30  23   0.01882333
 31   1   0.00761003
 31   4   0.01292775
 31   7   0.00548983
 31  22  -0.04129447
 31  24   0.01227258
 32   5   0.04861114
 32   8  -0.00395612
 33   3  -0.02766770
 33  23   0.12138625
 34   1   0.01983198
 34   4   0.04053013
 34   7   0.03844851
 34  22  -0.04136324
 34  24   0.15616848
 36   1  -0.00836668
 36   4  -0.01409725
 36   7   0.03567725
 36  22   0.04013844
 36  24   0.04071469
 37   5  -0.01129908
 37   8  -0.06365376
