# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
  0   0   2   5   1
  1   0   2   3   1
  2   1   0   1   1
  3   0   2   5  -1
  4   0   2   3  -1
  5   1   0   1  -1
# Two-body basis: 
# i   a   b   J
  0   0   0   0
  1   0   0   2
  2   0   0   4
  3   0   1   1
  4   0   1   2
  5   0   1   3
  6   0   1   4
  7   0   2   2
  8   0   2   3
  9   0   3   0
 10   0   3   1
 11   0   3   2
 12   0   3   3
 13   0   3   4
 14   0   3   5
 15   0   4   1
 16   0   4   2
 17   0   4   3
 18   0   4   4
 19   0   5   2
 20   0   5   3
 21   1   1   0
 22   1   1   2
 23   1   2   1
 24   1   2   2
 25   1   3   1
 26   1   3   2
 27   1   3   3
 28   1   3   4
 29   1   4   0
 30   1   4   1
 31   1   4   2
 32   1   4   3
 33   1   5   1
 34   1   5   2
 35   2   2   0
 36   2   3   2
 37   2   3   3
 38   2   4   1
 39   2   4   2
 40   2   5   0
 41   2   5   1
 42   3   3   0
 43   3   3   2
 44   3   3   4
 45   3   4   1
 46   3   4   2
 47   3   4   3
 48   3   4   4
 49   3   5   2
 50   3   5   3
 51   4   4   0
 52   4   4   2
 53   4   5   1
 54   4   5   2
 55   5   5   0

Jf nJf  Ji nJi  Lambda =   0 1      0 1      0
-------------- OBTD ---------------------
  3   0  -0.04054483
  4   1  -0.61813859
  5   2  -0.05427437

-------------- TBTD ---------------------
  9   0  -0.08921363
  9  21  -0.11709724
  9  35  -0.05027548
 10   3   0.00942721
 10  23   0.00114473
 11   1  -0.03583323
 11   4  -0.00320676
 11   7   0.01281469
 11  22   0.05573723
 11  24  -0.02219850
 12   5  -0.00755564
 12   8   0.00023513
 13   2  -0.06163568
 13   6   0.00824718
 15   3  -0.53627982
 15  23  -0.01876692
 16   1  -0.01595708
 16   4  -0.62683351
 16   7  -0.02158235
 16  22  -0.02342575
 16  24   0.05082659
 17   5  -0.68574245
 17   8   0.01484946
 18   2   0.01286102
 18   6  -0.87456611
 19   1   0.00871160
 19   4  -0.01017299
 19   7  -0.07277793
 19  22   0.02745206
 19  24  -0.00825038
 20   5  -0.00270845
 20   8  -0.09558634
 25   3   0.00191766
 25  23  -0.01091707
 26   1  -0.00927356
 26   4   0.02339203
 26   7  -0.00949896
 26  22  -0.05303044
 26  24   0.01674796
 27   5  -0.03664943
 27   8  -0.00071866
 28   2  -0.00047246
 28   6   0.03658407
 29   0  -0.11832279
 29  21  -0.63648310
 29  35  -0.09792580
 30   3  -0.04410723
 30  23   0.06439148
 31   1   0.05911460
 31   4   0.02480408
 31   7   0.06521725
 31  22  -0.43862382
 31  24  -0.01441347
 32   5   0.04469776
 32   8   0.00614969
 33   3   0.00413727
 33  23  -0.03184944
 34   1  -0.01278286
 34   4  -0.01961909
 34   7  -0.02062826
 34  22  -0.04354976
 34  24  -0.04709280
 36   1   0.00970904
